zip,lat,lon
27983,36.0159,-76.9336
28001,35.3573,-80.2044
28025,35.3716,-80.53
28052,35.2449,-81.2194
28078,35.4011,-80.8695
28092,35.4851,-81.1818
28106,35.26,-80.8042
28112,34.8946,-80.554
28117,35.584,-80.8685
28139,35.3706,-81.9781
28144,35.6515,-80.4889
28150,35.312,-81.5568
28170,34.9809,-80.0696
28203,35.2081,-80.8583
28210,35.1316,-80.8577
28215,35.244,-80.7387
28233,35.2271,-80.8431
28262,35.3183,-80.7476
28277,35.0552,-80.8195
28301,35.0743,-78.8836
28302,35.0343,-78.9088
28310,35.0506,-78.8038
28328,35.0151,-78.326
28334,35.3165,-78.6151
28337,34.6471,-78.5747
28339,35.3287,-78.6859
28349,35.0152,-77.8969
28352,34.7599,-79.4673
28359,34.6077,-79.0144
28374,35.1884,-79.4732
28376,34.989,-79.2228
28401,34.2257,-77.9447
28402,34.3405,-77.9014
28425,34.5487,-77.9403
28451,34.268,-78.0578
28461,33.9654,-78.0359
28462,34.0231,-78.2884
28472,34.3241,-78.716
28501,35.2783,-77.586
28540,34.7375,-77.4628
28546,34.774,-77.3781
28547,34.6909,-77.3614
28557,34.7253,-76.7531
28560,35.1204,-76.9842
28601,35.7576,-81.3289
28602,35.6884,-81.3612
28607,36.2142,-81.666
28621,36.2872,-80.8554
28625,35.8651,-80.8858
28640,36.409,-81.4396
28645,35.9149,-81.5398
28646,36.0665,-81.8704
28655,35.7346,-81.7042
28659,36.2017,-81.1286
28675,36.5089,-81.1384
28677,35.799,-80.894
28711,35.5986,-82.2902
28712,35.2208,-82.7404
28713,35.4241,-83.4392
28719,35.5094,-83.3144
28721,35.5597,-82.9216
28722,35.2532,-82.1971
28734,35.181,-83.3885
28741,35.0705,-83.216
28752,35.6819,-82.018
28777,35.906,-82.0705
28779,35.3481,-83.2031
28791,35.3464,-82.525
28792,35.3613,-82.4264
28801,35.5971,-82.5565
28805,35.6004,-82.4918
28906,35.1312,-84.0388
29020,34.2696,-80.591
29102,33.6184,-80.2116
29108,34.2847,-81.6157
29150,33.9137,-80.3542
29169,33.995,-81.0888
29203,34.0635,-81.0265
29204,34.026,-81.0046
29209,33.9659,-80.9355
29212,34.0726,-81.1796
29220,34.0007,-81.0348
29303,34.9803,-81.9168
29306,34.8937,-81.9228
29325,34.4707,-81.8772
29340,35.0615,-81.6491
29379,34.7269,-81.6202
29384,34.3367,-82.088
29401,32.7795,-79.9371
29405,32.853,-79.9913
29406,32.9352,-80.0325
29414,32.8215,-80.0568
29425,32.7862,-79.9471
29440,33.4308,-79.3235
29464,32.8473,-79.8206
29466,32.8674,-79.8049
29486,33.0185,-80.1756
29488,32.9052,-80.6668
29505,34.1231,-79.6893
29506,34.2153,-79.6468
29520,34.6863,-79.9174
29526,33.8731,-79.0557
29536,34.4146,-79.377
29550,34.3756,-80.0842
29569,34.0558,-78.9161
29572,33.7587,-78.8044
29574,34.2044,-79.2542
29576,33.5507,-79.0528
29601,34.8472,-82.406
29605,34.8001,-82.3932
29615,34.8661,-82.3198
29620,34.1819,-82.3785
29621,34.5261,-82.6304
29622,34.5034,-82.6501
29640,34.829,-82.5796
29646,34.1758,-82.1562
29650,34.8968,-82.2674
29651,34.9453,-82.2209
29671,34.9024,-82.7058
29672,34.774,-82.9457
29681,34.7512,-82.255
29690,35.0039,-82.4272
29706,34.7149,-81.2186
29720,34.749,-80.7616
29732,34.9681,-81.0489
29801,33.553,-81.7194
29827,32.9515,-81.2586
29902,32.4316,-80.6698
29926,32.2077,-80.7476
29927,32.2635,-81.0669
29944,32.8349,-81.0288
30012,33.7192,-84.0021
30014,33.5293,-83.8496
30033,33.8123,-84.2819
30034,33.6954,-84.2489
30041,34.2037,-84.1031
30045,33.9367,-83.9573
30046,33.9496,-83.9942
30058,33.7356,-84.1009
30060,33.9382,-84.5403
30076,34.0213,-84.3104
30078,33.8635,-84.0081
30080,33.8796,-84.5023
30096,33.9845,-84.1529
30097,34.026,-84.147
30106,33.8369,-84.6307
30110,33.7309,-85.1286
30115,34.1993,-84.4199
30117,33.5798,-85.0812
30120,34.187,-84.8204
30125,34.0112,-85.2459
30134,33.7606,-84.7477
30141,33.8673,-84.7699
30143,34.462,-84.4759
30162,34.2905,-85.2138
30165,34.2837,-85.2231
30180,33.7173,-84.9297
30214,33.4679,-84.4806
30223,33.2549,-84.2728
30233,33.282,-83.9784
30240,33.0243,-85.0739
30265,33.3958,-84.7121
30274,33.5531,-84.4003
30281,33.5633,-84.2165
30286,32.9015,-84.3324
30303,33.7525,-84.3888
30308,33.7718,-84.3757
30309,33.7984,-84.3883
30322,33.7952,-84.3248
30329,33.8236,-84.3214
30338,33.9669,-84.3249
30342,33.8842,-84.3761
30349,33.6053,-84.4813
30401,32.5699,-82.3462
30417,32.165,-81.908
30434,33.0163,-82.3836
30439,32.401,-82.0607
30442,32.7877,-81.9618
30453,32.0548,-82.1478
30458,32.4408,-81.774
