https://data.cms.gov/provider-data/ location affected,Downloadable CSV revised file affected,Data Last Updated,Data Last Updated Details
https://data.cms.gov/provider-data/dataset/anxg-51lp,Maternal Health - by National,30-Apr-25,Dataset temporarily removed
https://data.cms.gov/provider-data/dataset/4j6d-yzce,Measure Dates,30-Apr-25,Data refreshed
https://data.cms.gov/provider-data/dataset/nrth-mfg3,Medicare Hospital Spending by Claim,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/rrqw-56er,Medicare Spending Per Beneficiary - Hospital,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/5hk7-b79m,Medicare Spending Per Beneficiary - Hospital Additional Decimal Places,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/3n5g-6b7f,Medicare Spending Per Beneficiary - National,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/rs6n-9qwg,Medicare Spending Per Beneficiary - State,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/z8ax-x9j1,Complications and Unplanned Hospital Visits - PPS-Exempt Cancer Hospital-National,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/jfnd-nl7s,Complications and Unplanned Hospital Visits - PPS-Exempt Cancer Hospital-Hospital,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/e6hj-umam,Outpatient and Ambulatory Surgery CAHPS Survey Footnotes,30-Apr-25,No updates
https://data.cms.gov/provider-data/dataset/48nr-hqxx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - Facility,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/tf3h-mrrs,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - National,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/x663-bwbj,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for ambulatory surgical centers - State,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/yizn-abxn,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - Facility,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/s5pj-hua3,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - National,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/6pfg-whmx,Outpatient and Ambulatory Surgery Consumer Assessment of Healthcare Providers and Systems (OAS CAHPS) survey for hospital outpatient departments - State,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/wkfw-kthe,Outpatient Imaging Efficiency - Hospital,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/di9i-zzrc,Outpatient Imaging Efficiency - National,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/if5v-4x48,Outpatient Imaging Efficiency - State,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qoeg-w7ck,Palliative Care - PPS-Exempt Cancer Hospital-Hospital,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/qigt-w5cx,Palliative Care - PPS-Exempt Cancer Hospital-National,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/mxtu-43qs,Patient Reported Outcomes,30-Apr-25,No updates; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/dgck-syfz,Patient survey (HCAHPS) - Hospital,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/99ue-w85f,Patient survey (HCAHPS)  - National.csv,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/84jm-wiui,Patient survey (HCAHPS) - State.csv,30-Apr-25,Data refeshed; Open/Closed List applied
https://data.cms.gov/provider-data/dataset/iy27-wz37,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - Hospital,30-Apr-25,Data refreshed
https://data.cms.gov/provider-data/dataset/9g7e-btyt,Patient Survey (PCH - HCAHPS) PPS-exempt Cancer Hospital - National,30-Apr-25,Data refreshed
